Experiment
--------------------------------------------
Parameter = tcp_app_win
Values [29, 31] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 29 990411
20000000 29 319906
30000000 29 423523
40000000 29 5523833
50000000 29 776182
60000000 29 1255443
70000000 29 1091790
80000000 29 820036
90000000 29 1375599
100000000 29 1187647

10000000 30 247243
20000000 30 320023
30000000 30 1203579
40000000 30 491871
50000000 30 1067634
60000000 30 823942
70000000 30 743516
80000000 30 1103998
90000000 30 1159754
100000000 30 983826

10000000 31 242989
20000000 31 319695
30000000 31 407790
40000000 31 759814
50000000 31 819906
60000000 31 955745
70000000 31 723772
80000000 31 819699
90000000 31 907837
100000000 31 1223439

