Experiment
--------------------------------------------
Parameter = tcp_base_mss
Values [256, 2048] with stride 256
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 256 244249
20000000 256 323774
30000000 256 407947
40000000 256 483636
50000000 256 563688
60000000 256 1051624
70000000 256 943675
80000000 256 828011
90000000 256 1503792
100000000 256 1007479

10000000 512 242870
20000000 512 323783
30000000 512 439526
40000000 512 484171
50000000 512 583614
60000000 512 823490
70000000 512 995904
80000000 512 843917
90000000 512 1151891
100000000 512 1511626

10000000 768 262236
20000000 768 315858
30000000 768 407805
40000000 768 491670
50000000 768 760109
60000000 768 1039673
70000000 768 939592
80000000 768 1295848
90000000 768 927915
100000000 768 987580

10000000 1024 246113
20000000 1024 523815
30000000 1024 607801
40000000 1024 499795
50000000 1024 567914
60000000 1024 871430
70000000 1024 1315679
80000000 1024 1143920
90000000 1024 907764
100000000 1024 979836

10000000 1280 246673
20000000 1280 323773
30000000 1280 399750
40000000 1280 487775
50000000 1280 579622
60000000 1280 655837
70000000 1280 1167801
80000000 1280 1071738
90000000 1280 1083911
100000000 1280 979748

10000000 1536 248472
20000000 1536 324096
30000000 1536 887549
40000000 1536 491737
50000000 1536 607711
60000000 1536 1176096
70000000 1536 743674
80000000 1536 2259586
90000000 1536 915799
100000000 1536 1620110

10000000 1792 245858
20000000 1792 319827
30000000 1792 403805
40000000 1792 731708
50000000 1792 571697
60000000 1792 667775
70000000 1792 815600
80000000 1792 1120066
90000000 1792 1447611
100000000 1792 991855

10000000 2048 446565
20000000 2048 599630
30000000 2048 407860
40000000 2048 483893
50000000 2048 575700
60000000 2048 663624
70000000 2048 940099
80000000 2048 839479
90000000 2048 1815739
100000000 2048 1423977

