Experiment
--------------------------------------------
Parameter = tcp_orphan_retries
Values [0, 5] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 0 236095
20000000 0 347591
30000000 0 404051
40000000 0 843579
50000000 0 1031872
60000000 0 643973
70000000 0 727666
80000000 0 1011428
90000000 0 1460173
100000000 0 987790

10000000 1 241994
20000000 1 319843
30000000 1 407642
40000000 1 683860
50000000 1 643636
60000000 1 5855871
70000000 1 991439
80000000 1 824265
90000000 1 1547526
100000000 1 1291915

10000000 2 246500
20000000 2 815729
30000000 2 647755
40000000 2 487923
50000000 2 631441
60000000 2 695707
70000000 2 763847
80000000 2 1539899
90000000 2 904009
100000000 2 1299518

10000000 3 246149
20000000 3 323790
30000000 3 655526
40000000 3 484163
50000000 3 831550
60000000 3 6059692
70000000 3 1156015
80000000 3 991771
90000000 3 907699
100000000 3 987736

10000000 4 246069
20000000 4 323923
30000000 4 411836
40000000 4 503719
50000000 4 587545
60000000 4 652116
70000000 4 735597
80000000 4 819762
90000000 4 1639707
100000000 4 991858

10000000 5 494356
20000000 5 575678
30000000 5 711773
40000000 5 500020
50000000 5 823617
60000000 5 659851
70000000 5 731795
80000000 5 5999553
90000000 5 1520079
100000000 5 1143316

