Experiment
--------------------------------------------
Parameter = tcp_frto
Values [0, 2] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 0 244230
20000000 0 359575
30000000 0 404147
40000000 0 495516
50000000 0 583912
60000000 0 999467
70000000 0 1707989
80000000 0 1267694
90000000 0 1311694
100000000 0 1307822

10000000 1 530718
20000000 1 319878
30000000 1 403914
40000000 1 499468
50000000 1 563995
60000000 1 675652
70000000 1 1191988
80000000 1 1855354
90000000 1 1711995
100000000 1 1647621

10000000 2 242769
20000000 2 771895
30000000 2 407845
40000000 2 479891
50000000 2 587351
60000000 2 860079
70000000 2 963747
80000000 2 819675
90000000 2 907799
100000000 2 1255779

