Experiment
--------------------------------------------
Parameter = tcp_reordering
Values [0, 10] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 0 242624
20000000 0 311898
30000000 0 411488
40000000 0 14540025
50000000 0 563759
60000000 0 27723449
70000000 0 7176129
80000000 0 807792
90000000 0 903657
100000000 0 39931341

10000000 1 446960
20000000 1 323779
30000000 1 403810
40000000 1 711707
50000000 1 567978
60000000 1 655530
70000000 1 743702
80000000 1 812000
90000000 1 1219470
100000000 1 2119834

10000000 2 442806
20000000 2 327897
30000000 2 403843
40000000 2 519741
50000000 2 991952
60000000 2 659821
70000000 2 947508
80000000 2 1308169
90000000 2 923601
100000000 2 1211549

10000000 3 242925
20000000 3 323845
30000000 3 403688
40000000 3 495881
50000000 3 839857
60000000 3 683471
70000000 3 740036
80000000 3 823807
90000000 3 1111604
100000000 3 1383952

10000000 4 246731
20000000 4 319690
30000000 4 407680
40000000 4 519519
50000000 4 824216
60000000 4 1179771
70000000 4 1695567
80000000 4 1063973
90000000 4 6219413
100000000 4 980189

10000000 5 254422
20000000 5 531716
30000000 5 655947
40000000 5 895463
50000000 5 760053
60000000 5 647916
70000000 5 827434
80000000 5 1272037
90000000 5 1427604
100000000 5 987839

10000000 6 246912
20000000 6 331637
30000000 6 695835
40000000 6 771576
50000000 6 591802
60000000 6 659925
70000000 6 1179974
80000000 6 1127644
90000000 6 1651507
100000000 6 1211870

10000000 7 690765
20000000 7 535699
30000000 7 439693
40000000 7 5459992
50000000 7 1083738
60000000 7 951779
70000000 7 939715
80000000 7 827859
90000000 7 1119775
100000000 7 1915621

10000000 8 242829
20000000 8 327788
30000000 8 395908
40000000 8 863771
50000000 8 963545
60000000 8 1100043
70000000 8 739731
80000000 8 5831335
90000000 8 904150
100000000 8 1987861

10000000 9 238578
20000000 9 5291848
30000000 9 403635
40000000 9 1463952
50000000 9 563803
60000000 9 923289
70000000 9 948203
80000000 9 1435812
90000000 9 923473
100000000 9 1188026

10000000 10 246390
20000000 10 320063
30000000 10 403426
40000000 10 483941
50000000 10 591717
60000000 10 651803
70000000 10 739774
80000000 10 1123455
90000000 10 900097
100000000 10 1295930

