Experiment
--------------------------------------------
Parameter = tcp_synack_retries
Values [1, 5] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 1 245588
20000000 1 319910
30000000 1 407589
40000000 1 759732
50000000 1 787637
60000000 1 5852230
70000000 1 743562
80000000 1 823820
90000000 1 1615706
100000000 1 1547577

10000000 2 243278
20000000 2 323840
30000000 2 603786
40000000 2 487613
50000000 2 579883
60000000 2 848126
70000000 2 759423
80000000 2 823969
90000000 2 1387680
100000000 2 1387728

10000000 3 518901
20000000 3 319865
30000000 3 439636
40000000 3 491894
50000000 3 787687
60000000 3 919767
70000000 3 732022
80000000 3 815861
90000000 3 1155477
100000000 3 1203677

10000000 4 246872
20000000 4 319950
30000000 4 407563
40000000 4 771680
50000000 4 835938
60000000 4 863960
70000000 4 739605
80000000 4 1391732
90000000 4 1115928
100000000 4 975683

10000000 5 246879
20000000 5 323932
30000000 5 415543
40000000 5 703815
50000000 5 1243643
60000000 5 675940
70000000 5 1276051
80000000 5 819742
90000000 5 1111575
100000000 5 991874

