Experiment
--------------------------------------------
Parameter = tcp_adv_win_scale
Values [0, 3] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 0 238460
20000000 0 343659
30000000 0 404217
40000000 0 687700
50000000 0 587445
60000000 0 927902
70000000 0 735843
80000000 0 1063728
90000000 0 2651636
100000000 0 2668087

10000000 1 238795
20000000 1 319913
30000000 1 675415
40000000 1 1119929
50000000 1 639694
60000000 1 1091788
70000000 1 739862
80000000 1 1104054
90000000 1 1335812
100000000 1 1251365

10000000 2 243419
20000000 2 327958
30000000 2 399812
40000000 2 487695
50000000 2 1235820
60000000 2 855600
70000000 2 720026
80000000 2 1055643
90000000 2 1403658
100000000 2 1247650

10000000 3 243150
20000000 3 335705
30000000 3 407916
40000000 3 495522
50000000 3 1107768
60000000 3 5747747
70000000 3 767753
80000000 3 827869
90000000 3 915800
100000000 3 1371730

