Experiment
--------------------------------------------
Parameter = tcp_ecn
Values [0, 2] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 0 243362
20000000 0 319900
30000000 0 407593
40000000 0 499875
50000000 0 591749
60000000 0 643925
70000000 0 1463485
80000000 0 808027
90000000 0 1175349
100000000 0 1016026

10000000 1 242768
20000000 1 335677
30000000 1 596117
40000000 1 695542
50000000 1 603547
60000000 1 655992
70000000 1 747546
80000000 1 1256338
90000000 1 1083629
100000000 1 2199563

10000000 2 242378
20000000 2 527651
30000000 2 607696
40000000 2 480018
50000000 2 583695
60000000 2 647937
70000000 2 739600
80000000 2 1019662
90000000 2 6268031
100000000 2 2059632

