Experiment
--------------------------------------------
Parameter = tcp_retries2
Values [1, 10] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 1 243250
20000000 1 327578
30000000 1 400108
40000000 1 487748
50000000 1 744800
60000000 1 1170570
70000000 1 1255733
80000000 1 1011859
90000000 1 1211666
100000000 1 1528041

10000000 2 1238586
20000000 2 323823
30000000 2 395936
40000000 2 487547
50000000 2 583926
60000000 2 983700
70000000 2 743919
80000000 2 823625
90000000 2 1327767
100000000 2 995756

10000000 3 242605
20000000 3 355610
30000000 3 408370
40000000 3 703285
50000000 3 567958
60000000 3 655508
70000000 3 1124010
80000000 3 1227444
90000000 3 1740255
100000000 3 987544

10000000 4 458846
20000000 4 527886
30000000 4 411650
40000000 4 563642
50000000 4 1091892
60000000 4 1992007
70000000 4 739442
80000000 4 815945
90000000 4 899850
100000000 4 1263458

10000000 5 242966
20000000 5 319851
30000000 5 607550
40000000 5 847861
50000000 5 575865
60000000 5 863805
70000000 5 727880
80000000 5 1043437
90000000 5 1367898
100000000 5 1192050

10000000 6 242719
20000000 6 511873
30000000 6 403651
40000000 6 519543
50000000 6 1012205
60000000 6 659639
70000000 6 1007926
80000000 6 827594
90000000 6 915654
100000000 6 979924

10000000 7 242815
20000000 7 319790
30000000 7 423640
40000000 7 571697
50000000 7 591992
60000000 7 1047819
70000000 7 947868
80000000 7 819750
90000000 7 6071731
100000000 7 2659576

10000000 8 242801
20000000 8 319838
30000000 8 395823
40000000 8 763702
50000000 8 763838
60000000 8 1547632
70000000 8 883667
80000000 8 824021
90000000 8 1755684
100000000 8 1256024

10000000 9 242627
20000000 9 363700
30000000 9 403943
40000000 9 743622
50000000 9 583704
60000000 9 1028086
70000000 9 743424
80000000 9 1635891
90000000 9 1583999
100000000 9 987648

10000000 10 242806
20000000 10 527790
30000000 10 507522
40000000 10 680274
50000000 10 827562
60000000 10 639849
70000000 10 1227671
80000000 10 1539801
90000000 10 1443642
100000000 10 1315925

