Experiment
--------------------------------------------
Parameter = tcp_rmem
Values [4096, 65536] with stride 4096
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 4096 243907
20000000 4096 323670
30000000 4096 407737
40000000 4096 499895
50000000 4096 575716
60000000 4096 655708
70000000 4096 747736
80000000 4096 1131817
90000000 4096 915630
100000000 4096 1180023

10000000 8192 243196
20000000 8192 327864
30000000 8192 635687
40000000 8192 483808
50000000 8192 615587
60000000 8192 1107990
70000000 8192 739857
80000000 8192 1023467
90000000 8192 904153
100000000 8192 1263487

10000000 12288 243461
20000000 12288 319927
30000000 12288 399784
40000000 12288 483575
50000000 12288 556031
60000000 12288 859756
70000000 12288 1319491
80000000 12288 1099718
90000000 12288 1371853
100000000 12288 1232097

10000000 16384 243200
20000000 16384 323785
30000000 16384 395938
40000000 16384 487551
50000000 16384 571937
60000000 16384 935764
70000000 16384 983828
80000000 16384 1163333
90000000 16384 1867953
100000000 16384 1304011

10000000 20480 243068
20000000 20480 323684
30000000 20480 447925
40000000 20480 871902
50000000 20480 563891
60000000 20480 671579
70000000 20480 755747
80000000 20480 839795
90000000 20480 899899
100000000 20480 979798

10000000 24576 243225
20000000 24576 327702
30000000 24576 407766
40000000 24576 1359816
50000000 24576 575823
60000000 24576 663730
70000000 24576 1023972
80000000 24576 1019692
90000000 24576 931600
100000000 24576 1207522

10000000 28672 243891
20000000 28672 319761
30000000 28672 623693
40000000 28672 487754
50000000 28672 571919
60000000 28672 839724
70000000 28672 727845
80000000 28672 823697
90000000 28672 1171498
100000000 28672 2339985

10000000 32768 243230
20000000 32768 319912
30000000 32768 659809
40000000 32768 499750
50000000 32768 1571559
60000000 32768 659762
70000000 32768 743705
80000000 32768 815894
90000000 32768 1351562
100000000 32768 1868121

10000000 36864 242998
20000000 36864 331625
30000000 36864 407793
40000000 36864 491840
50000000 36864 583945
60000000 36864 663525
70000000 36864 756107
80000000 36864 1031481
90000000 36864 1104048
100000000 36864 1171725

10000000 40960 243242
20000000 40960 323614
30000000 40960 400071
40000000 40960 503768
50000000 40960 575602
60000000 40960 1015527
70000000 40960 847891
80000000 40960 1544065
90000000 40960 891806
100000000 40960 1807574

10000000 45056 243214
20000000 45056 323841
30000000 45056 411707
40000000 45056 759874
50000000 45056 588040
60000000 45056 695325
70000000 45056 1371791
80000000 45056 840256
90000000 45056 1175672
100000000 45056 1499423

10000000 49152 239120
20000000 49152 323830
30000000 49152 587854
40000000 49152 675669
50000000 49152 571746
60000000 49152 1171889
70000000 49152 719872
80000000 49152 1047441
90000000 49152 1155828
100000000 49152 1311913

10000000 53248 242726
20000000 53248 5327877
30000000 53248 727644
40000000 53248 495783
50000000 53248 1011729
60000000 53248 667829
70000000 53248 895569
80000000 53248 820149
90000000 53248 907636
100000000 53248 1079555

10000000 57344 259340
20000000 57344 756021
30000000 57344 399795
40000000 57344 487568
50000000 57344 579622
60000000 57344 1148081
70000000 57344 747507
80000000 57344 831852
90000000 57344 1107829
100000000 57344 987879

10000000 61440 242814
20000000 61440 355719
30000000 61440 404137
40000000 61440 495376
50000000 61440 1019971
60000000 61440 647716
70000000 61440 1035764
80000000 61440 811795
90000000 61440 899696
100000000 61440 1507751

10000000 65536 263000
20000000 65536 771946
30000000 65536 835620
40000000 65536 1131955
50000000 65536 563846
60000000 65536 663882
70000000 65536 803181
80000000 65536 1356159
90000000 65536 907809
100000000 65536 987739

