Experiment
--------------------------------------------
Parameter = tcp_syn_retries
Values [1, 5] with stride 1
Flow sizes = [10000000, 100000000] with stride 10000000
--------------------------------------------
10000000 1 243705
20000000 1 515696
30000000 1 443799
40000000 1 747881
50000000 1 635451
60000000 1 891937
70000000 1 1059703
80000000 1 816018
90000000 1 899702
100000000 1 983731

10000000 2 243093
20000000 2 543673
30000000 2 419733
40000000 2 728010
50000000 2 575728
60000000 2 843673
70000000 2 827463
80000000 2 828068
90000000 2 1083896
100000000 2 1447488

10000000 3 242938
20000000 3 611617
30000000 3 5372027
40000000 3 759600
50000000 3 764015
60000000 3 659657
70000000 3 727917
80000000 3 1387338
90000000 3 1123784
100000000 3 6263745

10000000 4 259287
20000000 4 519957
30000000 4 455674
40000000 4 491841
50000000 4 567827
60000000 4 655667
70000000 4 1527685
80000000 4 815937
90000000 4 1267714
100000000 4 1027935

10000000 5 242826
20000000 5 375801
30000000 5 407863
40000000 5 487767
50000000 5 575742
60000000 5 659727
70000000 5 1012135
80000000 5 831466
90000000 5 1104056
100000000 5 1619508

