Experiment
--------------------------------------------
Parameter = tcp_base_mss
Values [256, 2048] with stride 256
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 256 167231
20000 256 159834
30000 256 159888
40000 256 159850
50000 256 159852
60000 256 159860
70000 256 159868
80000 256 159837
90000 256 159854
100000 256 159858

10000 512 159201
20000 512 5163800
30000 512 159843
40000 512 155822
50000 512 156003
60000 512 155818
70000 512 159877
80000 512 159842
90000 512 159844
100000 512 159835

10000 768 166708
20000 768 159862
30000 768 160033
40000 768 159874
50000 768 159876
60000 768 159856
70000 768 159877
80000 768 159874
90000 768 159860
100000 768 159866

10000 1024 159062
20000 1024 159831
30000 1024 159879
40000 1024 159855
50000 1024 159853
60000 1024 159864
70000 1024 159861
80000 1024 159855
90000 1024 159880
100000 1024 159841

10000 1280 159252
20000 1280 155792
30000 1280 159844
40000 1280 159844
50000 1280 159844
60000 1280 159852
70000 1280 159841
80000 1280 159853
90000 1280 159798
100000 1280 159881

10000 1536 159025
20000 1536 5159960
30000 1536 159854
40000 1536 159844
50000 1536 159843
60000 1536 159840
70000 1536 159858
80000 1536 159860
90000 1536 159868
100000 1536 159836

10000 1792 167013
20000 1792 159850
30000 1792 159868
40000 1792 159852
50000 1792 159860
60000 1792 159855
70000 1792 159863
80000 1792 159857
90000 1792 159871
100000 1792 159861

10000 2048 159241
20000 2048 159836
30000 2048 159882
40000 2048 159880
50000 2048 159998
60000 2048 159835
70000 2048 159877
80000 2048 159862
90000 2048 159857
100000 2048 159861

