Experiment
--------------------------------------------
Parameter = tcp_ecn
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 167006
20000 0 159865
30000 0 159850
40000 0 159854
50000 0 159864
60000 0 159878
70000 0 159846
80000 0 159856
90000 0 5163938
100000 0 159855

10000 1 163201
20000 1 159821
30000 1 159893
40000 1 5167908
50000 1 159847
60000 1 159831
70000 1 159852
80000 1 159843
90000 1 159839
100000 1 159863

10000 2 163093
20000 2 159763
30000 2 159867
40000 2 159838
50000 2 159866
60000 2 159972
70000 2 159839
80000 2 159844
90000 2 159849
100000 2 159935

