Experiment
--------------------------------------------
Parameter = tcp_retries2
Values [1, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 168051
20000 1 159836
30000 1 159836
40000 1 159871
50000 1 159862
60000 1 159870
70000 1 159858
80000 1 159856
90000 1 159866
100000 1 159855

10000 2 155533
20000 2 155830
30000 2 160021
40000 2 159870
50000 2 159859
60000 2 159869
70000 2 160012
80000 2 159902
90000 2 159780
100000 2 159855

10000 3 159543
20000 3 159790
30000 3 5131822
40000 3 159847
50000 3 1124017
60000 3 159795
70000 3 159834
80000 3 159875
90000 3 159836
100000 3 159839

10000 4 159429
20000 4 159827
30000 4 155867
40000 4 155847
50000 4 159852
60000 4 159841
70000 4 159952
80000 4 160005
90000 4 159824
100000 4 159820

10000 5 163529
20000 5 159810
30000 5 159862
40000 5 159849
50000 5 159784
60000 5 160018
70000 5 159869
80000 5 159897
90000 5 159786
100000 5 159848

10000 6 159427
20000 6 155822
30000 6 155961
40000 6 155830
50000 6 157223
60000 6 155994
70000 6 159847
80000 6 159875
90000 6 159829
100000 6 159856

10000 7 167337
20000 7 159869
30000 7 159850
40000 7 159875
50000 7 160018
60000 7 159877
70000 7 159875
80000 7 159855
90000 7 159853
100000 7 159873

10000 8 5163276
20000 8 155974
30000 8 159853
40000 8 159921
50000 8 159868
60000 8 159861
70000 8 159895
80000 8 159889
90000 8 159873
100000 8 159864

10000 9 159328
20000 9 5159860
30000 9 159848
40000 9 159824
50000 9 159876
60000 9 159841
70000 9 159868
80000 9 159857
90000 9 159868
100000 9 159855

10000 10 155305
20000 10 155839
30000 10 159869
40000 10 159841
50000 10 159837
60000 10 160035
70000 10 159869
80000 10 159825
90000 10 159880
100000 10 159861

