Experiment
--------------------------------------------
Parameter = tcp_syn_retries
Values [1, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 165219
20000 1 159844
30000 1 159861
40000 1 5163877
50000 1 159860
60000 1 159848
70000 1 159838
80000 1 159857
90000 1 159834
100000 1 159857

10000 2 163619
20000 2 159829
30000 2 159861
40000 2 159835
50000 2 159870
60000 2 159854
70000 2 159845
80000 2 159852
90000 2 159841
100000 2 159856

10000 3 159775
20000 3 155784
30000 3 155991
40000 3 155809
50000 3 159841
60000 3 159851
70000 3 159867
80000 3 159840
90000 3 159851
100000 3 159859

10000 4 163767
20000 4 159776
30000 4 159891
40000 4 159850
50000 4 159865
60000 4 159841
70000 4 159871
80000 4 159834
90000 4 159859
100000 4 159996

10000 5 163541
20000 5 155968
30000 5 159741
40000 5 159858
50000 5 159884
60000 5 159998
70000 5 159892
80000 5 159867
90000 5 159860
100000 5 159851

