Experiment
--------------------------------------------
Parameter = tcp_synack_retries
Values [1, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 164221
20000 1 155863
30000 1 159882
40000 1 159989
50000 1 159886
60000 1 159877
70000 1 159866
80000 1 159841
90000 1 159861
100000 1 161243

10000 2 163463
20000 2 155806
30000 2 160025
40000 2 159862
50000 2 159859
60000 2 159855
70000 2 159872
80000 2 159859
90000 2 159881
100000 2 159852

10000 3 159625
20000 3 159926
30000 3 163880
40000 3 159849
50000 3 159863
60000 3 155831
70000 3 159855
80000 3 159846
90000 3 5163897
100000 3 1123814

10000 4 159532
20000 4 159841
30000 4 159877
40000 4 1123995
50000 4 159841
60000 4 159848
70000 4 159863
80000 4 159837
90000 4 159849
100000 4 159849

10000 5 163592
20000 5 159894
30000 5 159851
40000 5 159843
50000 5 159854
60000 5 159862
70000 5 159865
80000 5 159828
90000 5 159866
100000 5 159926

