Experiment
--------------------------------------------
Parameter = tcp_frto
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 159759
20000 0 155795
30000 0 159842
40000 0 159867
50000 0 159853
60000 0 367927
70000 0 159777
80000 0 159856
90000 0 159872
100000 0 159849

10000 1 159205
20000 1 159869
30000 1 159839
40000 1 159873
50000 1 159865
60000 1 159850
70000 1 159858
80000 1 159863
90000 1 159871
100000 1 159858

10000 2 155165
20000 2 155999
30000 2 159848
40000 2 159893
50000 2 159884
60000 2 159851
70000 2 159893
80000 2 160011
90000 2 159886
100000 2 159800

