Experiment
--------------------------------------------
Parameter = tcp_reordering
Values [0, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 159618
20000 0 155829
30000 0 159848
40000 0 159906
50000 0 159823
60000 0 159844
70000 0 159904
80000 0 159855
90000 0 159882
100000 0 159869

10000 1 159357
20000 1 155832
30000 1 159886
40000 1 159881
50000 1 367868
60000 1 159866
70000 1 159874
80000 1 159860
90000 1 159843
100000 1 159873

10000 2 159344
20000 2 159850
30000 2 159874
40000 2 159978
50000 2 159866
60000 2 1151850
70000 2 159972
80000 2 159844
90000 2 159859
100000 2 159846

10000 3 159369
20000 3 339716
30000 3 159877
40000 3 155827
50000 3 159796
60000 3 159854
70000 3 160085
80000 3 367760
90000 3 159888
100000 3 159890

10000 4 159409
20000 4 155829
30000 4 159920
40000 4 159871
50000 4 159870
60000 4 159873
70000 4 159856
80000 4 159886
90000 4 159885
100000 4 159862

10000 5 159301
20000 5 159864
30000 5 159834
40000 5 155840
50000 5 159878
60000 5 155963
70000 5 159755
80000 5 160002
90000 5 159817
100000 5 159845

10000 6 167174
20000 6 159992
30000 6 155843
40000 6 159848
50000 6 159891
60000 6 159824
70000 6 159860
80000 6 159856
90000 6 159907
100000 6 159796

10000 7 156306
20000 7 155835
30000 7 159827
40000 7 159862
50000 7 160151
60000 7 159577
70000 7 159868
80000 7 159854
90000 7 159891
100000 7 159880

10000 8 159326
20000 8 155972
30000 8 155826
40000 8 155828
50000 8 159863
60000 8 159857
70000 8 159845
80000 8 159853
90000 8 159850
100000 8 159892

10000 9 163279
20000 9 159832
30000 9 159854
40000 9 160152
50000 9 155541
60000 9 159935
70000 9 159873
80000 9 159866
90000 9 159877
100000 9 159880

10000 10 159275
20000 10 371884
30000 10 5131920
40000 10 159804
50000 10 159843
60000 10 159831
70000 10 159916
80000 10 159819
90000 10 159862
100000 10 159824

