Experiment
--------------------------------------------
Parameter = tcp_rmem
Values [4096, 65536] with stride 4096
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 4096 161344
20000 4096 155574
30000 4096 159750
40000 4096 5131794
50000 4096 155716
60000 4096 159819
70000 4096 155861
80000 4096 159696
90000 4096 159698
100000 4096 159848

10000 8192 159493
20000 8192 155694
30000 8192 159843
40000 8192 159733
50000 8192 159849
60000 8192 159697
70000 8192 155704
80000 8192 159897
90000 8192 159685
100000 8192 159843

10000 12288 159671
20000 12288 155661
30000 12288 159874
40000 12288 155687
50000 12288 159842
60000 12288 371789
70000 12288 155803
80000 12288 159748
90000 12288 159700
100000 12288 159870

10000 16384 159270
20000 16384 155680
30000 16384 159848
40000 16384 159744
50000 16384 159826
60000 16384 159705
70000 16384 159853
80000 16384 159742
90000 16384 159690
100000 16384 159852

10000 20480 163574
20000 20480 155644
30000 20480 159862
40000 20480 159718
50000 20480 159858
60000 20480 159713
70000 20480 155688
80000 20480 159854
90000 20480 159716
100000 20480 159858

10000 24576 159608
20000 24576 155781
30000 24576 159723
40000 24576 159708
50000 24576 159838
60000 24576 159693
70000 24576 155721
80000 24576 371875
90000 24576 159753
100000 24576 159850

10000 28672 155233
20000 28672 155635
30000 28672 159855
40000 28672 159700
50000 28672 159846
60000 28672 159718
70000 28672 5131778
80000 28672 159720
90000 28672 159878
100000 28672 159703

10000 32768 159534
20000 32768 155797
30000 32768 159694
40000 32768 155862
50000 32768 159697
60000 32768 159862
70000 32768 159707
80000 32768 159763
90000 32768 159809
100000 32768 159706

10000 36864 159502
20000 36864 155615
30000 36864 159726
40000 36864 159836
50000 36864 159702
60000 36864 159844
70000 36864 159696
80000 36864 159686
90000 36864 159934
100000 36864 159652

10000 40960 159270
20000 40960 155679
30000 40960 159688
40000 40960 159861
50000 40960 159754
60000 40960 159878
70000 40960 159698
80000 40960 159718
90000 40960 159832
100000 40960 159717

10000 45056 159609
20000 45056 155739
30000 45056 375732
40000 45056 159730
50000 45056 159838
60000 45056 159706
70000 45056 159870
80000 45056 159709
90000 45056 159741
100000 45056 159869

10000 49152 159524
20000 49152 155654
30000 49152 159883
40000 49152 159695
50000 49152 367900
60000 49152 159658
70000 49152 1155801
80000 49152 159712
90000 49152 159844
100000 49152 159704

10000 53248 159466
20000 53248 155813
30000 53248 159730
40000 53248 159838
50000 53248 159715
60000 53248 155691
70000 53248 159861
80000 53248 159709
90000 53248 159849
100000 53248 159704

10000 57344 159613
20000 57344 367669
30000 57344 343783
40000 57344 375762
50000 57344 159714
60000 57344 159842
70000 57344 159702
80000 57344 159709
90000 57344 159850
100000 57344 159709

10000 61440 163447
20000 61440 155773
30000 61440 159701
40000 61440 159861
50000 61440 159681
60000 61440 155717
70000 61440 159859
80000 61440 159710
90000 61440 159844
100000 61440 159714

10000 65536 159478
20000 65536 155762
30000 65536 159715
40000 65536 159844
50000 65536 159713
60000 65536 155744
70000 65536 159818
80000 65536 159711
90000 65536 159840
100000 65536 159709

