Experiment
--------------------------------------------
Parameter = tcp_adv_win_scale
Values [0, 3] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 165857
20000 0 159834
30000 0 159888
40000 0 159820
50000 0 159852
60000 0 159863
70000 0 159855
80000 0 159879
90000 0 159857
100000 0 159846

10000 1 159741
20000 1 155848
30000 1 159869
40000 1 159853
50000 1 159859
60000 1 159866
70000 1 159875
80000 1 160040
90000 1 159841
100000 1 160041

10000 2 159872
20000 2 155829
30000 2 159818
40000 2 159835
50000 2 159847
60000 2 159867
70000 2 159894
80000 2 159838
90000 2 159879
100000 2 159851

10000 3 159910
20000 3 155930
30000 3 155846
40000 3 155839
50000 3 159849
60000 3 159857
70000 3 159884
80000 3 159841
90000 3 159840
100000 3 159892

