Experiment
--------------------------------------------
Parameter = tcp_app_win
Values [29, 31] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 29 157530
20000 29 159798
30000 29 159901
40000 29 159842
50000 29 159842
60000 29 159834
70000 29 159881
80000 29 159843
90000 29 159847
100000 29 159853

10000 30 155813
20000 30 155827
30000 30 159876
40000 30 160018
50000 30 159860
60000 30 335773
70000 30 159876
80000 30 159841
90000 30 159839
100000 30 159866

10000 31 159891
20000 31 159832
30000 31 159864
40000 31 159880
50000 31 5131864
60000 31 159869
70000 31 159887
80000 31 159883
90000 31 159954
100000 31 159845

