Experiment
--------------------------------------------
Parameter = tcp_orphan_retries
Values [0, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 330958
20000 0 155915
30000 0 159869
40000 0 159874
50000 0 159862
60000 0 159858
70000 0 159861
80000 0 5308866
90000 0 158848
100000 0 159846

10000 1 166974
20000 1 159834
30000 1 159875
40000 1 159862
50000 1 159857
60000 1 159851
70000 1 159924
80000 1 159910
90000 1 159919
100000 1 159844

10000 2 155150
20000 2 155591
30000 2 159861
40000 2 363871
50000 2 159847
60000 2 159863
70000 2 5131823
80000 2 371888
90000 2 159842
100000 2 159863

10000 3 158840
20000 3 155837
30000 3 155882
40000 3 155960
50000 3 159888
60000 3 159859
70000 3 159872
80000 3 159867
90000 3 159882
100000 3 159859

10000 4 158979
20000 4 159851
30000 4 159866
40000 4 159849
50000 4 159854
60000 4 159874
70000 4 159850
80000 4 159861
90000 4 159863
100000 4 159853

10000 5 158970
20000 5 159837
30000 5 159882
40000 5 159846
50000 5 159862
60000 5 161143
70000 5 159876
80000 5 160020
90000 5 159846
100000 5 159854

