Experiment
--------------------------------------------
Parameter = tcp_retries1
Values [1, 10] with stride 1
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 1 168983
21000000 1 327827
41000000 1 507846
61000000 1 675534
81000000 1 859597

1000000 2 167459
21000000 2 339984
41000000 2 515681
61000000 2 691600
81000000 2 859656

1000000 3 167366
21000000 3 335984
41000000 3 507631
61000000 3 687655
81000000 3 859610

1000000 4 167570
21000000 4 335822
41000000 4 515826
61000000 4 687610
81000000 4 855466

1000000 5 167612
21000000 5 331937
41000000 5 507699
61000000 5 687588
81000000 5 859637

1000000 6 167604
21000000 6 335831
41000000 6 507814
61000000 6 679499
81000000 6 859520

1000000 7 167547
21000000 7 335973
41000000 7 511621
61000000 7 679595
81000000 7 859577

1000000 8 167549
21000000 8 327793
41000000 8 503773
61000000 8 683443
81000000 8 851543

1000000 9 171376
21000000 9 331983
41000000 9 515614
61000000 9 679665
81000000 9 855474

1000000 10 167516
21000000 10 331968
41000000 10 507619
61000000 10 687527
81000000 10 855577

