Experiment
--------------------------------------------
Parameter = tcp_rmem
Values [4096, 65536] with stride 4096
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 4096 162811
21000000 4096 332115
41000000 4096 503908
61000000 4096 683781
81000000 4096 851659

1000000 8192 163795
21000000 8192 336178
41000000 8192 515858
61000000 8192 687866
81000000 8192 851815

1000000 12288 166330
21000000 12288 335993
41000000 12288 508024
61000000 12288 687770
81000000 12288 859683

1000000 16384 171854
21000000 16384 336199
41000000 16384 507825
61000000 16384 683766
81000000 16384 851821

1000000 20480 167767
21000000 20480 328129
41000000 20480 507867
61000000 20480 688019
81000000 20480 859592

1000000 24576 167645
21000000 24576 340199
41000000 24576 515882
61000000 24576 687720
81000000 24576 855864

1000000 28672 167642
21000000 28672 328107
41000000 28672 508034
61000000 28672 683759
81000000 28672 856023

1000000 32768 167467
21000000 32768 340180
41000000 32768 507823
61000000 32768 679747
81000000 32768 855797

1000000 36864 167774
21000000 36864 336058
41000000 36864 507975
61000000 36864 683731
81000000 36864 847837

1000000 40960 167818
21000000 40960 331997
41000000 40960 508001
61000000 40960 679711
81000000 40960 855748

1000000 45056 167742
21000000 45056 332137
41000000 45056 504025
61000000 45056 687760
81000000 45056 851646

1000000 49152 167715
21000000 49152 332165
41000000 49152 515851
61000000 49152 679714
81000000 49152 855807

1000000 53248 167745
21000000 53248 335999
41000000 53248 507926
61000000 53248 691757
81000000 53248 859633

1000000 57344 171802
21000000 57344 336161
41000000 57344 515842
61000000 57344 683732
81000000 57344 855805

1000000 61440 167588
21000000 61440 332071
41000000 61440 507810
61000000 61440 679845
81000000 61440 859624

1000000 65536 167772
21000000 65536 336325
41000000 65536 507587
61000000 65536 683717
81000000 65536 851770

