Experiment
--------------------------------------------
Parameter = tcp_base_mss
Values [256, 2048] with stride 256
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 256 168086
21000000 256 331709
41000000 256 511451
61000000 256 679312
81000000 256 855306

1000000 512 167322
21000000 512 335579
41000000 512 503558
61000000 512 687338
81000000 512 855384

1000000 768 167181
21000000 768 335729
41000000 768 515425
61000000 768 679321
81000000 768 851374

1000000 1024 167263
21000000 1024 335701
41000000 1024 503412
61000000 1024 675206
81000000 1024 859360

1000000 1280 167283
21000000 1280 335551
41000000 1280 503556
61000000 1280 679356
81000000 1280 847247

1000000 1536 163271
21000000 1536 331620
41000000 1536 503444
61000000 1536 679218
81000000 1536 859384

1000000 1792 167357
21000000 1792 331521
41000000 1792 511531
61000000 1792 683099
81000000 1792 855350

1000000 2048 163266
21000000 2048 335681
41000000 2048 515401
61000000 2048 679169
81000000 2048 859344

