Experiment
--------------------------------------------
Parameter = tcp_orphan_retries
Values [0, 5] with stride 1
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 0 167729
21000000 0 331653
41000000 0 507345
61000000 0 683249
81000000 0 851314

1000000 1 167261
21000000 1 331646
41000000 1 507331
61000000 1 679287
81000000 1 859298

1000000 2 167310
21000000 2 335534
41000000 2 503498
61000000 2 679173
81000000 2 855226

1000000 3 167266
21000000 3 339626
41000000 3 511321
61000000 3 683234
81000000 3 855191

1000000 4 167244
21000000 4 335533
41000000 4 507450
61000000 4 679212
81000000 4 851354

1000000 5 167134
21000000 5 335571
41000000 5 503480
61000000 5 687208
81000000 5 855111

