Experiment
--------------------------------------------
Parameter = tcp_reordering
Values [0, 10] with stride 1
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 0 168387
21000000 0 335785
41000000 0 515615
61000000 0 687465
81000000 0 855566

1000000 1 167367
21000000 1 335844
41000000 1 511670
61000000 1 687224
81000000 1 855497

1000000 2 167457
21000000 2 331808
41000000 2 503529
61000000 2 687458
81000000 2 855483

1000000 3 167503
21000000 3 331666
41000000 3 507689
61000000 3 683454
81000000 3 855496

1000000 4 166886
21000000 4 327716
41000000 4 511502
61000000 4 679625
81000000 4 855311

1000000 5 163402
21000000 5 331836
41000000 5 515574
61000000 5 683410
81000000 5 851543

1000000 6 167409
21000000 6 335710
41000000 6 507649
61000000 6 683452
81000000 6 855442

1000000 7 167357
21000000 7 327780
41000000 7 503643
61000000 7 687402
81000000 7 859394

1000000 8 171419
21000000 8 331737
41000000 8 507524
61000000 8 687421
81000000 8 859525

1000000 9 167446
21000000 9 331627
41000000 9 507685
61000000 9 683394
81000000 9 859278

1000000 10 167410
21000000 10 331760
41000000 10 515524
61000000 10 679438
81000000 10 855376

