Experiment
--------------------------------------------
Parameter = tcp_frto
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 159206
20000 0 155775
30000 0 159714
40000 0 159848
50000 0 159750
60000 0 159730
70000 0 159834
80000 0 159712
90000 0 159854
100000 0 159752

10000 1 158935
20000 1 155818
30000 1 159722
40000 1 159887
50000 1 159688
60000 1 159698
70000 1 159858
80000 1 159721
90000 1 159890
100000 1 159686

10000 2 158495
20000 2 155822
30000 2 159735
40000 2 159910
50000 2 159747
60000 2 159718
70000 2 159830
80000 2 159708
90000 2 159898
100000 2 159680

