Experiment
--------------------------------------------
Parameter = tcp_orphan_retries
Values [0, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 158288
20000 0 155639
30000 0 159921
40000 0 159664
50000 0 159852
60000 0 159705
70000 0 159704
80000 0 159837
90000 0 159730
100000 0 159887

10000 1 158436
20000 1 155615
30000 1 159877
40000 1 159659
50000 1 159847
60000 1 159715
70000 1 159674
80000 1 159867
90000 1 159763
100000 1 159867

10000 2 158692
20000 2 155659
30000 2 159879
40000 2 159703
50000 2 159841
60000 2 159708
70000 2 159683
80000 2 159844
90000 2 159703
100000 2 159846

10000 3 158784
20000 3 155620
30000 3 159869
40000 3 159739
50000 3 159822
60000 3 159754
70000 3 159732
80000 3 159859
90000 3 159653
100000 3 159839

10000 4 158253
20000 4 155639
30000 4 159873
40000 4 159676
50000 4 159853
60000 4 159745
70000 4 159696
80000 4 159832
90000 4 159718
100000 4 159849

10000 5 162754
20000 5 155621
30000 5 159858
40000 5 159702
50000 5 159854
60000 5 159701
70000 5 159714
80000 5 159846
90000 5 159728
100000 5 159894

