Experiment
--------------------------------------------
Parameter = tcp_rmem
Values [4096, 65536] with stride 4096
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 4096 167245
20000 4096 155692
30000 4096 159713
40000 4096 159836
50000 4096 159704
60000 4096 159720
70000 4096 163886
80000 4096 159686
90000 4096 159848
100000 4096 159727

10000 8192 159596
20000 8192 155766
30000 8192 159716
40000 8192 159914
50000 8192 159655
60000 8192 159712
70000 8192 159853
80000 8192 159688
90000 8192 159871
100000 8192 159699

10000 12288 159577
20000 12288 159867
30000 12288 159689
40000 12288 159712
50000 12288 159832
60000 12288 159707
70000 12288 159861
80000 12288 159684
90000 12288 159731
100000 12288 159828

10000 16384 159237
20000 16384 155688
30000 16384 159867
40000 16384 159716
50000 16384 159851
60000 16384 159690
70000 16384 159848
80000 16384 159711
90000 16384 159737
100000 16384 159844

10000 20480 159570
20000 20480 155655
30000 20480 159842
40000 20480 159699
50000 20480 159869
60000 20480 159697
70000 20480 159857
80000 20480 159702
90000 20480 159712
100000 20480 159861

10000 24576 155421
20000 24576 155762
30000 24576 159721
40000 24576 159872
50000 24576 159656
60000 24576 159718
70000 24576 159831
80000 24576 159719
90000 24576 159733
100000 24576 159846

10000 28672 159366
20000 28672 159817
30000 28672 159697
40000 28672 159729
50000 28672 159846
60000 28672 159688
70000 28672 159850
80000 28672 159716
90000 28672 159760
100000 28672 159797

10000 32768 159408
20000 32768 159769
30000 32768 159757
40000 32768 159689
50000 32768 159849
60000 32768 159701
70000 32768 159699
80000 32768 159903
90000 32768 159661
100000 32768 159828

10000 36864 159459
20000 36864 159695
30000 36864 159828
40000 36864 159720
50000 36864 159838
60000 36864 159703
70000 36864 159715
80000 36864 159845
90000 36864 159707
100000 36864 159882

10000 40960 159275
20000 40960 159495
30000 40960 160037
40000 40960 159746
50000 40960 159845
60000 40960 159740
70000 40960 159670
80000 40960 159869
90000 40960 159705
100000 40960 159839

10000 45056 163307
20000 45056 155629
30000 45056 159856
40000 45056 159707
50000 45056 159691
60000 45056 159848
70000 45056 159707
80000 45056 159850
90000 45056 159703
100000 45056 159696

10000 49152 163674
20000 49152 155649
30000 49152 159834
40000 49152 159695
50000 49152 159711
60000 49152 159842
70000 49152 159771
80000 49152 159691
90000 49152 159835
100000 49152 159689

10000 53248 163348
20000 53248 155633
30000 53248 159704
40000 53248 159833
50000 53248 159708
60000 53248 163786
70000 53248 159812
80000 53248 159690
90000 53248 159838
100000 53248 159679

10000 57344 158931
20000 57344 155736
30000 57344 159723
40000 57344 159832
50000 57344 159703
60000 57344 159701
70000 57344 159861
80000 57344 159693
90000 57344 159855
100000 57344 159706

10000 61440 159346
20000 61440 155777
30000 61440 159730
40000 61440 159855
50000 61440 159684
60000 61440 159714
70000 61440 159842
80000 61440 159701
90000 61440 159866
100000 61440 159692

10000 65536 159429
20000 65536 155804
30000 65536 159715
40000 65536 159867
50000 65536 159706
60000 65536 159692
70000 65536 159861
80000 65536 159764
90000 65536 159818
100000 65536 159699

