Experiment
--------------------------------------------
Parameter = tcp_adv_win_scale
Values [0, 3] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 165107
20000 0 155806
30000 0 159851
40000 0 159852
50000 0 159870
60000 0 159852
70000 0 159900
80000 0 159840
90000 0 159836
100000 0 160032

10000 1 159774
20000 1 159802
30000 1 159856
40000 1 159987
50000 1 159864
60000 1 159841
70000 1 159855
80000 1 159852
90000 1 159853
100000 1 159840

10000 2 163910
20000 2 155799
30000 2 159857
40000 2 159837
50000 2 159857
60000 2 159863
70000 2 159834
80000 2 159848
90000 2 159860
100000 2 159878

10000 3 163838
20000 3 159811
30000 3 159851
40000 3 159858
50000 3 159839
60000 3 159843
70000 3 160016
80000 3 159844
90000 3 159853
100000 3 159854

