Experiment
--------------------------------------------
Parameter = tcp_reordering
Values [0, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 161953
20000 0 155726
30000 0 159709
40000 0 159853
50000 0 159701
60000 0 159763
70000 0 159819
80000 0 159705
90000 0 159817
100000 0 159739

10000 1 159115
20000 1 155797
30000 1 159710
40000 1 159874
50000 1 159707
60000 1 159681
70000 1 159851
80000 1 159678
90000 1 159921
100000 1 159685

10000 2 159079
20000 2 159773
30000 2 159701
40000 2 159840
50000 2 159691
60000 2 159736
70000 2 159842
80000 2 159707
90000 2 159768
100000 2 159880

10000 3 158723
20000 3 155812
30000 3 159718
40000 3 159833
50000 3 159732
60000 3 159705
70000 3 159851
80000 3 159762
90000 3 159687
100000 3 159892

10000 4 159027
20000 4 155493
30000 4 159998
40000 4 159753
50000 4 159827
60000 4 159722
70000 4 159836
80000 4 159706
90000 4 159704
100000 4 159862

10000 5 159004
20000 5 155491
30000 5 160031
40000 5 159693
50000 5 159843
60000 5 159722
70000 5 159838
80000 5 159688
90000 5 159733
100000 5 159833

10000 6 158678
20000 6 155516
30000 6 160023
40000 6 159694
50000 6 159835
60000 6 159733
70000 6 159823
80000 6 159706
90000 6 159712
100000 6 159835

10000 7 159028
20000 7 155506
30000 7 160010
40000 7 159701
50000 7 159847
60000 7 159713
70000 7 159848
80000 7 159684
90000 7 159762
100000 7 159839

10000 8 158898
20000 8 155513
30000 8 160032
40000 8 159696
50000 8 159828
60000 8 159705
70000 8 159895
80000 8 159682
90000 8 159704
100000 8 159891

10000 9 158555
20000 9 155652
30000 9 159843
40000 9 159712
50000 9 159847
60000 9 159700
70000 9 159840
80000 9 159709
90000 9 159681
100000 9 159843

10000 10 154936
20000 10 155800
30000 10 159730
40000 10 159847
50000 10 159709
60000 10 159681
70000 10 159836
80000 10 159734
90000 10 159859
100000 10 159705

