Experiment
--------------------------------------------
Parameter = tcp_synack_retries
Values [1, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 162056
20000 1 155624
30000 1 159863
40000 1 159752
50000 1 159827
60000 1 159765
70000 1 159667
80000 1 159897
90000 1 159741
100000 1 159811

10000 2 163393
20000 2 155669
30000 2 159908
40000 2 159659
50000 2 159898
60000 2 159729
70000 2 159729
80000 2 159831
90000 2 159745
100000 2 159831

10000 3 163111
20000 3 155654
30000 3 159835
40000 3 159704
50000 3 159719
60000 3 159881
70000 3 159730
80000 3 159802
90000 3 159713
100000 3 159695

10000 4 163523
20000 4 155675
30000 4 159842
40000 4 159733
50000 4 159703
60000 4 159882
70000 4 159693
80000 4 159845
90000 4 159717
100000 4 159640

10000 5 163319
20000 5 155664
30000 5 159712
40000 5 159855
50000 5 159703
60000 5 159908
70000 5 159712
80000 5 159697
90000 5 159845
100000 5 159714

