Experiment
--------------------------------------------
Parameter = tcp_app_win
Values [29, 31] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 29 163545
20000 29 155640
30000 29 159587
40000 29 159980
50000 29 159689
60000 29 159845
70000 29 159705
80000 29 159852
90000 29 159713
100000 29 159757

10000 30 163635
20000 30 159637
30000 30 159709
40000 30 159860
50000 30 159693
60000 30 159593
70000 30 159996
80000 30 159711
90000 30 159814
100000 30 159703

10000 31 163151
20000 31 159755
30000 31 159733
40000 31 159810
50000 31 159706
60000 31 159716
70000 31 159837
80000 31 159753
90000 31 159814
100000 31 159677

