Experiment
--------------------------------------------
Parameter = tcp_base_mss
Values [256, 2048] with stride 256
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 256 159209
20000 256 159819
30000 256 159847
40000 256 159860
50000 256 159835
60000 256 159842
70000 256 159848
80000 256 159847
90000 256 159827
100000 256 159859

10000 512 163127
20000 512 159809
30000 512 159847
40000 512 159847
50000 512 159977
60000 512 159847
70000 512 159869
80000 512 159853
90000 512 159838
100000 512 159862

10000 768 163127
20000 768 155773
30000 768 159869
40000 768 159846
50000 768 159859
60000 768 159846
70000 768 159852
80000 768 159837
90000 768 159855
100000 768 159862

10000 1024 159083
20000 1024 159799
30000 1024 159844
40000 1024 163864
50000 1024 159857
60000 1024 159849
70000 1024 159845
80000 1024 159844
90000 1024 159979
100000 1024 159843

10000 1280 163026
20000 1280 159827
30000 1280 159840
40000 1280 159855
50000 1280 163860
60000 1280 159843
70000 1280 159855
80000 1280 159851
90000 1280 159855
100000 1280 159906

10000 1536 158984
20000 1536 159809
30000 1536 159859
40000 1536 159849
50000 1536 159852
60000 1536 159852
70000 1536 160132
80000 1536 159615
90000 1536 159832
100000 1536 159839

10000 1792 163115
20000 1792 159789
30000 1792 159867
40000 1792 159842
50000 1792 159860
60000 1792 159817
70000 1792 160023
80000 1792 159857
90000 1792 159847
100000 1792 159849

10000 2048 158892
20000 2048 159794
30000 2048 159856
40000 2048 159855
50000 2048 159850
60000 2048 159838
70000 2048 159870
80000 2048 159842
90000 2048 159850
100000 2048 159856

