Experiment
--------------------------------------------
Parameter = tcp_ecn
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 159889
20000 0 159806
30000 0 159864
40000 0 159829
50000 0 160121
60000 0 159604
70000 0 159843
80000 0 159905
90000 0 159821
100000 0 159840

10000 1 159248
20000 1 155797
30000 1 159856
40000 1 160000
50000 1 159845
60000 1 159874
70000 1 159838
80000 1 159824
90000 1 159861
100000 1 159851

10000 2 163288
20000 2 155781
30000 2 159859
40000 2 159846
50000 2 159851
60000 2 159862
70000 2 159883
80000 2 159837
90000 2 159847
100000 2 159881

