Experiment
--------------------------------------------
Parameter = tcp_retries2
Values [1, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 164344
20000 1 159791
30000 1 159876
40000 1 159858
50000 1 159843
60000 1 159844
70000 1 159848
80000 1 159863
90000 1 160032
100000 1 159839

10000 2 163531
20000 2 159821
30000 2 159841
40000 2 159838
50000 2 159870
60000 2 159836
70000 2 159842
80000 2 159873
90000 2 159833
100000 2 159846

10000 3 163501
20000 3 159790
30000 3 159914
40000 3 159824
50000 3 159841
60000 3 159846
70000 3 159859
80000 3 159922
90000 3 159846
100000 3 159831

10000 4 163522
20000 4 155800
30000 4 159852
40000 4 159837
50000 4 159846
60000 4 160005
70000 4 159854
80000 4 167720
90000 4 159991
100000 4 159862

10000 5 159409
20000 5 159830
30000 5 159845
40000 5 159843
50000 5 155843
60000 5 159852
70000 5 159844
80000 5 159893
90000 5 159819
100000 5 160152

10000 6 163130
20000 6 155793
30000 6 159879
40000 6 159839
50000 6 159850
60000 6 159837
70000 6 159920
80000 6 159818
90000 6 160006
100000 6 159869

10000 7 163294
20000 7 159819
30000 7 159988
40000 7 159860
50000 7 159839
60000 7 159843
70000 7 159857
80000 7 159858
90000 7 159840
100000 7 159845

10000 8 163451
20000 8 159818
30000 8 159857
40000 8 159865
50000 8 159838
60000 8 159855
70000 8 159903
80000 8 159820
90000 8 159885
100000 8 159828

10000 9 163483
20000 9 159820
30000 9 159863
40000 9 159847
50000 9 159893
60000 9 159835
70000 9 159829
80000 9 159919
90000 9 159960
100000 9 159858

10000 10 163469
20000 10 159815
30000 10 159834
40000 10 159873
50000 10 159833
60000 10 155843
70000 10 159852
80000 10 159858
90000 10 159839
100000 10 159845

