Experiment
--------------------------------------------
Parameter = tcp_syn_retries
Values [1, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 162275
20000 1 155651
30000 1 159831
40000 1 159717
50000 1 159847
60000 1 159725
70000 1 159689
80000 1 159841
90000 1 159706
100000 1 159844

10000 2 163368
20000 2 155614
30000 2 159864
40000 2 159700
50000 2 159706
60000 2 159882
70000 2 159703
80000 2 159840
90000 2 159699
100000 2 159718

10000 3 163174
20000 3 155630
30000 3 159879
40000 3 159696
50000 3 159752
60000 3 159830
70000 3 159754
80000 3 159804
90000 3 159701
100000 3 159695

10000 4 163570
20000 4 155652
30000 4 159760
40000 4 159830
50000 4 159711
60000 4 159832
70000 4 159775
80000 4 159669
90000 4 159902
100000 4 159686

10000 5 163422
20000 5 155755
30000 5 159676
40000 5 159851
50000 5 159708
60000 5 159719
70000 5 159838
80000 5 159700
90000 5 159852
100000 5 159716

