Experiment
--------------------------------------------
Parameter = tcp_adv_win_scale
Values [0, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 159135
20000 0 159923
30000 0 160045
40000 0 159827
50000 0 160036
60000 0 159938
70000 0 159923
80000 0 159966
90000 0 159895
100000 0 163781

10000 1 163987
20000 1 163960
30000 1 163959
40000 1 163901
50000 1 159962
60000 1 163863
70000 1 167891
80000 1 159969
90000 1 159897
100000 1 167928

10000 2 159937
20000 2 163914
30000 2 159951
40000 2 159929
50000 2 159934
60000 2 159952
70000 2 159943
80000 2 159886
90000 2 159915
100000 2 163754

10000 3 159932
20000 3 163952
30000 3 163966
40000 3 163914
50000 3 167817
60000 3 159866
70000 3 163918
80000 3 159932
90000 3 159919
100000 3 163911

10000 4 163941
20000 4 163844
30000 4 167762
40000 4 160034
50000 4 159693
60000 4 167890
70000 4 159915
80000 4 159833
90000 4 163959
100000 4 163906

10000 5 159883
20000 5 163829
30000 5 159852
40000 5 159911
50000 5 163735
60000 5 155973
70000 5 159761
80000 5 159864
90000 5 163920
100000 5 163841

