Experiment
--------------------------------------------
Parameter = tcp_app_win
Values [28, 31] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 28 167345
20000 28 160030
30000 28 163762
40000 28 163926
50000 28 159882
60000 28 159808
70000 28 159966
80000 28 163888
90000 28 163923
100000 28 163933

10000 29 164152
20000 29 159563
30000 29 167814
40000 29 163915
50000 29 163790
60000 29 163885
70000 29 159819
80000 29 163907
90000 29 159830
100000 29 163910

10000 30 159853
20000 30 159835
30000 30 159892
40000 30 163720
50000 30 163954
60000 30 159760
70000 30 163895
80000 30 163875
90000 30 163870
100000 30 159856

10000 31 163716
20000 31 159987
30000 31 163734
40000 31 155810
50000 31 163854
60000 31 163855
70000 31 163804
80000 31 167873
90000 31 159858
100000 31 163703

