Experiment
--------------------------------------------
Parameter = tcp_base_mss
Values [256, 2048] with stride 256
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 256 166616
20000 256 163144
30000 256 163124
40000 256 162981
50000 256 163067
60000 256 155236
70000 256 159136
80000 256 159010
90000 256 159177
100000 256 163166

10000 512 163188
20000 512 163159
30000 512 163176
40000 512 159207
50000 512 159122
60000 512 163125
70000 512 159151
80000 512 159169
90000 512 167045
100000 512 163135

10000 768 163118
20000 768 163190
30000 768 162984
40000 768 163036
50000 768 163167
60000 768 159142
70000 768 163094
80000 768 159122
90000 768 159152
100000 768 159126

10000 1024 167103
20000 1024 159107
30000 1024 159103
40000 1024 167035
50000 1024 159156
60000 1024 159107
70000 1024 159156
80000 1024 167147
90000 1024 159115
100000 1024 167142

10000 1280 167007
20000 1280 159128
30000 1280 159152
40000 1280 159158
50000 1280 159105
60000 1280 159142
70000 1280 159163
80000 1280 162514
90000 1280 163108
100000 1280 163136

10000 1536 166986
20000 1536 155265
30000 1536 163040
40000 1536 163110
50000 1536 163074
60000 1536 163233
70000 1536 163111
80000 1536 163093
90000 1536 163109
100000 1536 163114

10000 1792 163032
20000 1792 159080
30000 1792 163134
40000 1792 163055
50000 1792 163038
60000 1792 163096
70000 1792 159089
80000 1792 159148
90000 1792 159099
100000 1792 163053

10000 2048 159100
20000 2048 162934
30000 2048 159114
40000 2048 163107
50000 2048 163146
60000 2048 163086
70000 2048 159077
80000 2048 159070
90000 2048 159058
100000 2048 163145

