Experiment
--------------------------------------------
Parameter = tcp_ecn
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 161098
20000 0 163276
30000 0 163325
40000 0 159293
50000 0 159327
60000 0 159306
70000 0 159330
80000 0 155294
90000 0 159303
100000 0 163205

10000 1 155456
20000 1 159161
30000 1 159325
40000 1 159262
50000 1 159333
60000 1 163348
70000 1 167377
80000 1 163312
90000 1 167194
100000 1 167343

10000 2 159334
20000 2 163309
30000 2 163276
40000 2 163325
50000 2 163345
60000 2 163199
70000 2 163354
80000 2 163301
90000 2 163349
100000 2 163323

