Experiment
--------------------------------------------
Parameter = tcp_frto
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 166994
20000 0 163183
30000 0 159230
40000 0 159306
50000 0 167276
60000 0 163282
70000 0 167313
80000 0 163325
90000 0 159188
100000 0 163197

10000 1 167255
20000 1 155361
30000 1 155202
40000 1 163164
50000 1 159309
60000 1 167221
70000 1 159253
80000 1 163261
90000 1 159220
100000 1 163109

10000 2 159152
20000 2 167267
30000 2 163270
40000 2 167214
50000 2 167265
60000 2 159239
70000 2 159263
80000 2 163057
90000 2 159229
100000 2 163227

