Experiment
--------------------------------------------
Parameter = tcp_reordering
Values [0, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 163418
20000 0 159388
30000 0 159361
40000 0 159399
50000 0 159398
60000 0 159452
70000 0 159429
80000 0 159389
90000 0 159254
100000 0 167428

10000 1 163408
20000 1 159328
30000 1 163409
40000 1 163404
50000 1 163285
60000 1 155370
70000 1 159416
80000 1 163406
90000 1 163460
100000 1 167350

10000 2 163388
20000 2 159350
30000 2 163430
40000 2 159386
50000 2 159293
60000 2 155520
70000 2 159248
80000 2 155477
90000 2 163203
100000 2 163372

10000 3 159377
20000 3 159305
30000 3 163563
40000 3 167381
50000 3 163337
60000 3 159430
70000 3 159356
80000 3 159352
90000 3 159384
100000 3 163334

10000 4 159332
20000 4 159376
30000 4 159254
40000 4 163402
50000 4 163378
60000 4 163360
70000 4 163362
80000 4 163386
90000 4 159355
100000 4 163394

10000 5 159344
20000 5 159192
30000 5 163414
40000 5 163351
50000 5 163387
60000 5 163373
70000 5 159383
80000 5 159383
90000 5 163401
100000 5 167280

10000 6 159313
20000 6 159387
30000 6 163308
40000 6 163409
50000 6 163347
60000 6 163354
70000 6 163365
80000 6 159367
90000 6 159264
100000 6 163188

10000 7 159396
20000 7 163344
30000 7 163398
40000 7 163363
50000 7 163321
60000 7 163208
70000 7 167349
80000 7 155300
90000 7 163332
100000 7 163306

10000 8 163353
20000 8 163382
30000 8 163356
40000 8 159359
50000 8 159348
60000 8 163384
70000 8 159176
80000 8 155477
90000 8 159184
100000 8 163738

10000 9 162993
20000 9 163359
30000 9 167331
40000 9 159280
50000 9 163188
60000 9 167482
70000 9 167338
80000 9 163348
90000 9 159321
100000 9 159297

10000 10 167140
20000 10 167351
30000 10 163321
40000 10 163317
50000 10 163263
60000 10 163344
70000 10 159250
80000 10 163506
90000 10 162977
100000 10 159260

