Experiment
--------------------------------------------
Parameter = tcp_retries2
Values [1, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 155894
20000 1 159521
30000 1 159546
40000 1 159710
50000 1 163551
60000 1 163590
70000 1 163570
80000 1 163467
90000 1 163557
100000 1 159549

10000 2 159600
20000 2 163523
30000 2 167563
40000 2 159586
50000 2 159536
60000 2 167572
70000 2 159545
80000 2 163435
90000 2 163612
100000 2 167601

10000 3 163548
20000 3 163526
30000 3 163624
40000 3 167341
50000 3 167593
60000 3 163580
70000 3 167572
80000 3 163566
90000 3 159499
100000 3 163556

10000 4 159557
20000 4 163388
30000 4 159535
40000 4 159466
50000 4 155589
60000 4 159529
70000 4 159526
80000 4 159473
90000 4 167564
100000 4 163571

10000 5 167409
20000 5 155670
30000 5 163396
40000 5 167519
50000 5 163580
60000 5 163564
70000 5 163612
80000 5 167387
90000 5 163535
100000 5 167529

10000 6 167579
20000 6 163566
30000 6 163536
40000 6 163346
50000 6 163533
60000 6 159563
70000 6 155483
80000 6 163546
90000 6 167556
100000 6 167514

10000 7 163390
20000 7 159525
30000 7 155526
40000 7 163530
50000 7 163508
60000 7 159566
70000 7 159476
80000 7 167510
90000 7 163542
100000 7 163508

10000 8 159496
20000 8 163435
30000 8 167450
40000 8 167557
50000 8 159460
60000 8 159432
70000 8 163542
80000 8 163457
90000 8 159495
100000 8 163453

10000 9 163356
20000 9 159493
30000 9 167592
40000 9 163457
50000 9 163502
60000 9 163461
70000 9 159417
80000 9 159525
90000 9 159484
100000 9 163283

10000 10 155461
20000 10 159468
30000 10 159493
40000 10 159443
50000 10 159434
60000 10 163452
70000 10 163481
80000 10 167481
90000 10 159491
100000 10 163494

