Experiment
--------------------------------------------
Parameter = tcp_syn_retries
Values [1, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 160719
20000 1 155692
30000 1 159740
40000 1 159728
50000 1 163753
60000 1 163775
70000 1 167829
80000 1 159744
90000 1 159763
100000 1 167634

10000 2 155851
20000 2 159825
30000 2 159660
40000 2 159719
50000 2 159761
60000 2 159679
70000 2 159936
80000 2 159439
90000 2 163722
100000 2 163739

10000 3 163730
20000 3 163693
30000 3 167741
40000 3 159705
50000 3 159615
60000 3 159705
70000 3 159689
80000 3 163716
90000 3 163646
100000 3 163709

10000 4 163765
20000 4 163741
30000 4 159682
40000 4 159732
50000 4 159720
60000 4 159730
70000 4 159736
80000 4 159526
90000 4 159189
100000 4 159583

10000 5 163744
20000 5 167733
30000 5 167736
40000 5 167596
50000 5 159703
60000 5 163683
70000 5 163690
80000 5 159702
90000 5 163707
100000 5 159715

10000 6 163676
20000 6 159640
30000 6 163534
40000 6 163706
50000 6 159707
60000 6 167698
70000 6 159682
80000 6 159688
90000 6 167716
100000 6 159746

10000 7 163708
20000 7 155756
30000 7 159586
40000 7 167602
50000 7 155653
60000 7 159693
70000 7 159647
80000 7 155696
90000 7 159651
100000 7 163700

10000 8 155680
20000 8 163676
30000 8 167726
40000 8 163788
50000 8 159673
60000 8 159642
70000 8 159637
80000 8 159646
90000 8 159626
100000 8 163659

10000 9 155606
20000 9 159512
30000 9 159693
40000 9 163684
50000 9 163688
60000 9 163729
70000 9 163696
80000 9 159609
90000 9 163530
100000 9 167695

10000 10 167650
20000 10 159614
30000 10 163687
40000 10 163597
50000 10 163631
60000 10 159702
70000 10 159647
80000 10 159688
90000 10 159573
100000 10 167518

