Experiment
--------------------------------------------
Parameter = tcp_adv_win_scale
Values [0, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 158735
20000 0 164012
30000 0 159838
40000 0 167831
50000 0 167979
60000 0 159971
70000 0 163945
80000 0 168033
90000 0 159448
100000 0 159846

10000 1 159909
20000 1 159971
30000 1 159940
40000 1 159922
50000 1 167852
60000 1 163789
70000 1 159952
80000 1 163789
90000 1 164014
100000 1 167748

10000 2 159900
20000 2 159916
30000 2 163930
40000 2 155926
50000 2 163932
60000 2 167960
70000 2 164203
80000 2 163849
90000 2 163901
100000 2 159931

10000 3 163800
20000 3 167951
30000 3 159914
40000 3 167972
50000 3 167981
60000 3 163807
70000 3 163929
80000 3 163908
90000 3 163944
100000 3 163921

10000 4 163950
20000 4 163909
30000 4 163911
40000 4 159919
50000 4 167802
60000 4 163938
70000 4 159900
80000 4 163942
90000 4 159890
100000 4 159955

10000 5 159881
20000 5 163857
30000 5 159920
40000 5 163942
50000 5 159951
60000 5 159860
70000 5 163790
80000 5 163945
90000 5 163950
100000 5 163928

