Experiment
--------------------------------------------
Parameter = tcp_app_win
Values [28, 31] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 28 160042
20000 28 159933
30000 28 167744
40000 28 159896
50000 28 167876
60000 28 163879
70000 28 163756
80000 28 160086
90000 28 163728
100000 28 159865

10000 29 159856
20000 29 167910
30000 29 159878
40000 29 163953
50000 29 163866
60000 29 167761
70000 29 159910
80000 29 167889
90000 29 159860
100000 29 163910

10000 30 155799
20000 30 163873
30000 30 167936
40000 30 167743
50000 30 159895
60000 30 163979
70000 30 163793
80000 30 159864
90000 30 168014
100000 30 167913

10000 31 167683
20000 31 167934
30000 31 167894
40000 31 163896
50000 31 159877
60000 31 163900
70000 31 167775
80000 31 159886
90000 31 163838
100000 31 163846

