Experiment
--------------------------------------------
Parameter = tcp_base_mss
Values [256, 2048] with stride 256
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 256 156245
20000 256 155126
30000 256 163192
40000 256 163134
50000 256 163169
60000 256 163200
70000 256 167003
80000 256 159140
90000 256 167185
100000 256 163189

10000 512 163224
20000 512 159162
30000 512 166980
40000 512 163177
50000 512 163168
60000 512 167098
70000 512 159151
80000 512 163175
90000 512 163067
100000 512 163002

10000 768 163130
20000 768 159109
30000 768 167183
40000 768 163139
50000 768 159124
60000 768 167111
70000 768 163019
80000 768 163168
90000 768 159118
100000 768 163091

10000 1024 163121
20000 1024 159087
30000 1024 159138
40000 1024 163155
50000 1024 163112
60000 1024 159164
70000 1024 163172
80000 1024 162885
90000 1024 163073
100000 1024 163176

10000 1280 163121
20000 1280 159101
30000 1280 163142
40000 1280 163133
50000 1280 159151
60000 1280 159091
70000 1280 163154
80000 1280 163021
90000 1280 159131
100000 1280 163108

10000 1536 167058
20000 1536 167029
30000 1536 167114
40000 1536 163111
50000 1536 167113
60000 1536 167162
70000 1536 166951
80000 1536 159104
90000 1536 163124
100000 1536 167142

10000 1792 155076
20000 1792 167154
30000 1792 159053
40000 1792 166949
50000 1792 167114
60000 1792 163132
70000 1792 167105
80000 1792 163133
90000 1792 166982
100000 1792 163122

10000 2048 159239
20000 2048 158918
30000 2048 163096
40000 2048 159184
50000 2048 167082
60000 2048 163063
70000 2048 163071
80000 2048 163120
90000 2048 163000
100000 2048 163082

