Experiment
--------------------------------------------
Parameter = tcp_ecn
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 163376
20000 0 158992
30000 0 159476
40000 0 167222
50000 0 163353
60000 0 167323
70000 0 163336
80000 0 163377
90000 0 163198
100000 0 167323

10000 1 163378
20000 1 159285
30000 1 167360
40000 1 163389
50000 1 163281
60000 1 163198
70000 1 163391
80000 1 163326
90000 1 167335
100000 1 167345

10000 2 167185
20000 2 163311
30000 2 159356
40000 2 167297
50000 2 163329
60000 2 159289
70000 2 167181
80000 2 159439
90000 2 167211
100000 2 159291

