Experiment
--------------------------------------------
Parameter = tcp_frto
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 159700
20000 0 159274
30000 0 163157
40000 0 159329
50000 0 159260
60000 0 163275
70000 0 163239
80000 0 167250
90000 0 167162
100000 0 163290

10000 1 159264
20000 1 163236
30000 1 163298
40000 1 159272
50000 1 163285
60000 1 163458
70000 1 163234
80000 1 159244
90000 1 167121
100000 1 163295

10000 2 159238
20000 2 163212
30000 2 159325
40000 2 163285
50000 2 159226
60000 2 159251
70000 2 167138
80000 2 167317
90000 2 159247
100000 2 163246

