Experiment
--------------------------------------------
Parameter = tcp_reordering
Values [0, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 159763
20000 0 163330
30000 0 163448
40000 0 163417
50000 0 159450
60000 0 167437
70000 0 159436
80000 0 159410
90000 0 163491
100000 0 159445

10000 1 163326
20000 1 159442
30000 1 167438
40000 1 167468
50000 1 163418
60000 1 159442
70000 1 163444
80000 1 163264
90000 1 159452
100000 1 163442

10000 2 159413
20000 2 163453
30000 2 163495
40000 2 163347
50000 2 167312
60000 2 163457
70000 2 163389
80000 2 163449
90000 2 163418
100000 2 167435

10000 3 159394
20000 3 163275
30000 3 163464
40000 3 167451
50000 3 155409
60000 3 163421
70000 3 167425
80000 3 163445
90000 3 167279
100000 3 159403

10000 4 163345
20000 4 159439
30000 4 163418
40000 4 167393
50000 4 167442
60000 4 159364
70000 4 163239
80000 4 163412
90000 4 159409
100000 4 159386

10000 5 159507
20000 5 163381
30000 5 167391
40000 5 167340
50000 5 163438
60000 5 159372
70000 5 163205
80000 5 163398
90000 5 163383
100000 5 163337

10000 6 163384
20000 6 159383
30000 6 163385
40000 6 159411
50000 6 159251
60000 6 163378
70000 6 163361
80000 6 163426
90000 6 159374
100000 6 163373

10000 7 163376
20000 7 159337
30000 7 163333
40000 7 159400
50000 7 163541
60000 7 162994
70000 7 163360
80000 7 163389
90000 7 159280
100000 7 163388

10000 8 163212
20000 8 167434
30000 8 159359
40000 8 163315
50000 8 163351
60000 8 159309
70000 8 163382
80000 8 167229
90000 8 159317
100000 8 167386

10000 9 159348
20000 9 163338
30000 9 159364
40000 9 159342
50000 9 163342
60000 9 159323
70000 9 167250
80000 9 159281
90000 9 159336
100000 9 167314

10000 10 155295
20000 10 159321
30000 10 163366
40000 10 159309
50000 10 159373
60000 10 167328
70000 10 159267
80000 10 163178
90000 10 163348
100000 10 163378

