Experiment
--------------------------------------------
Parameter = tcp_retries2
Values [1, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 165513
20000 1 167444
30000 1 167682
40000 1 167618
50000 1 167603
60000 1 163367
70000 1 167618
80000 1 163588
90000 1 163589
100000 1 167645

10000 2 167429
20000 2 159608
30000 2 159573
40000 2 163615
50000 2 163761
60000 2 163435
70000 2 159533
80000 2 159576
90000 2 167555
100000 2 163660

10000 3 159545
20000 3 163428
30000 3 159698
40000 3 163454
50000 3 159525
60000 3 159606
70000 3 163540
80000 3 159556
90000 3 163508
100000 3 167452

10000 4 163527
20000 4 167567
30000 4 163592
40000 4 163569
50000 4 167413
60000 4 163565
70000 4 159515
80000 4 163554
90000 4 167618
100000 4 163444

10000 5 163544
20000 5 163574
30000 5 159543
40000 5 163427
50000 5 163553
60000 5 159541
70000 5 163584
80000 5 167524
90000 5 167407
100000 5 167552

10000 6 155523
20000 6 163518
30000 6 159521
40000 6 167527
50000 6 159479
60000 6 167569
70000 6 167404
80000 6 159507
90000 6 167523
100000 6 159523

10000 7 159478
20000 7 167522
30000 7 159497
40000 7 163516
50000 7 167414
60000 7 159524
70000 7 167503
80000 7 167552
90000 7 163550
100000 7 163528

10000 8 167370
20000 8 159464
30000 8 159563
40000 8 163523
50000 8 163553
60000 8 163491
70000 8 159492
80000 8 167364
90000 8 159497
100000 8 159517

10000 9 163450
20000 9 159571
30000 9 159427
40000 9 163546
50000 9 159566
60000 9 159501
70000 9 167563
80000 9 163473
90000 9 159479
100000 9 167379

10000 10 159454
20000 10 155540
30000 10 163384
40000 10 159449
50000 10 159520
60000 10 163516
70000 10 163516
80000 10 163502
90000 10 163485
100000 10 163480

