Experiment
--------------------------------------------
Parameter = tcp_syn_retries
Values [1, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 158259
20000 1 163755
30000 1 167664
40000 1 163794
50000 1 163780
60000 1 167760
70000 1 159797
80000 1 163765
90000 1 167634
100000 1 167776

10000 2 163744
20000 2 167778
30000 2 167658
40000 2 167796
50000 2 167783
60000 2 167816
70000 2 163713
80000 2 163624
90000 2 167832
100000 2 159763

10000 3 159746
20000 3 159765
30000 3 159751
40000 3 167770
50000 3 159766
60000 3 163738
70000 3 163638
80000 3 167752
90000 3 167769
100000 3 167775

10000 4 163757
20000 4 163574
30000 4 167771
40000 4 163878
50000 4 159778
60000 4 167718
70000 4 167714
80000 4 159731
90000 4 163766
100000 4 167806

10000 5 159672
20000 5 155731
30000 5 159735
40000 5 155745
50000 5 163731
60000 5 159737
70000 5 167756
80000 5 159865
90000 5 167504
100000 5 167760

10000 6 159705
20000 6 167753
30000 6 163756
40000 6 159708
50000 6 163793
60000 6 163609
70000 6 163747
80000 6 167727
90000 6 159781
100000 6 163760

10000 7 159752
20000 7 167727
30000 7 159763
40000 7 167585
50000 7 159694
60000 7 167748
70000 7 163725
80000 7 159715
90000 7 167606
100000 7 159858

10000 8 167619
20000 8 159709
30000 8 167797
40000 8 167658
50000 8 159759
60000 8 167591
70000 8 159705
80000 8 163682
90000 8 163731
100000 8 159696

10000 9 163695
20000 9 155662
30000 9 163724
40000 9 167709
50000 9 163563
60000 9 159689
70000 9 163703
80000 9 163671
90000 9 159658
100000 9 163717

10000 10 159698
20000 10 159683
30000 10 163747
40000 10 163683
50000 10 163539
60000 10 163712
70000 10 163848
80000 10 163681
90000 10 159672
100000 10 159653

