Experiment
--------------------------------------------
Parameter = tcp_adv_win_scale
Values [0, 5] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 162932
20000 0 163905
30000 0 167894
40000 0 159951
50000 0 167967
60000 0 168006
70000 0 163952
80000 0 159955
90000 0 167816
100000 0 167949

10000 1 163935
20000 1 163964
30000 1 163988
40000 1 159918
50000 1 155900
60000 1 163952
70000 1 167835
80000 1 163991
90000 1 163928
100000 1 163978

10000 2 155856
20000 2 163987
30000 2 167912
40000 2 159957
50000 2 163982
60000 2 163778
70000 2 164207
80000 2 159785
90000 2 168033
100000 2 163964

10000 3 167964
20000 3 167758
30000 3 159896
40000 3 159898
50000 3 163919
60000 3 163905
70000 3 159887
80000 3 163938
90000 3 159878
100000 3 159883

10000 4 163879
20000 4 163926
30000 4 163714
40000 4 163910
50000 4 167976
60000 4 163863
70000 4 159906
80000 4 163856
90000 4 163912
100000 4 163961

10000 5 159743
20000 5 159920
30000 5 159957
40000 5 159892
50000 5 159860
60000 5 163917
70000 5 163946
80000 5 159904
90000 5 167753
100000 5 167923

