Experiment
--------------------------------------------
Parameter = tcp_app_win
Values [28, 31] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 28 169265
20000 28 159856
30000 28 5131870
40000 28 5304829
50000 28 162647
60000 28 159878
70000 28 163943
80000 28 163881
90000 28 159913
100000 28 5163821

10000 29 159796
20000 29 159911
30000 29 159877
40000 29 163914
50000 29 159908
60000 29 159872
70000 29 167930
80000 29 167930
90000 29 167930
100000 29 167930

10000 30 167930
20000 30 167930
30000 30 167930
40000 30 167930
50000 30 167930
60000 30 167930
70000 30 167930
80000 30 167930
90000 30 167930
100000 30 167930

10000 31 167930
20000 31 167930
30000 31 167930
40000 31 167930
50000 31 167930
60000 31 167930
70000 31 167930
80000 31 167930
90000 31 167930
100000 31 167930

