Experiment
--------------------------------------------
Parameter = tcp_base_mss
Values [256, 2048] with stride 256
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 256 162194
20000 256 166988
30000 256 159123
40000 256 167189
50000 256 167165
60000 256 167007
70000 256 167180
80000 256 163174
90000 256 159162
100000 256 159168

10000 512 159134
20000 512 167019
30000 512 159144
40000 512 167133
50000 512 167206
60000 512 163142
70000 512 159153
80000 512 167149
90000 512 167057
100000 512 163453

10000 768 158839
20000 768 155172
30000 768 163123
40000 768 163159
50000 768 159169
60000 768 163204
70000 768 5131068
80000 768 163024
90000 768 163179
100000 768 163155

10000 1024 163156
20000 1024 155057
30000 1024 159178
40000 1024 5158991
50000 1024 163064
60000 1024 163106
70000 1024 163153
80000 1024 163182
90000 1024 163149
100000 1024 163149

10000 1280 159138
20000 1280 159093
30000 1280 162989
40000 1280 163128
50000 1280 159089
60000 1280 5131195
70000 1280 162862
80000 1280 163149
90000 1280 163087
100000 1280 1123080

10000 1536 159047
20000 1536 159130
30000 1536 167061
40000 1536 166992
50000 1536 167113
60000 1536 163148
70000 1536 159123
80000 1536 163078
90000 1536 167151
100000 1536 166956

10000 1792 159046
20000 1792 159273
30000 1792 163119
40000 1792 163013
50000 1792 163080
60000 1792 163152
70000 1792 163082
80000 1792 163076
90000 1792 159126
100000 1792 163133

10000 2048 158874
20000 2048 159187
30000 2048 162940
40000 2048 155102
50000 2048 163106
60000 2048 163121
70000 2048 163102
80000 2048 5163166
90000 2048 162847
100000 2048 163118

