Experiment
--------------------------------------------
Parameter = tcp_ecn
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 154918
20000 0 159345
30000 0 159207
40000 0 159329
50000 0 163644
60000 0 154932
70000 0 159279
80000 0 163319
90000 0 163329
100000 0 163372

10000 1 163363
20000 1 159344
30000 1 159289
40000 1 159290
50000 1 163340
60000 1 159211
70000 1 163379
80000 1 163375
90000 1 163303
100000 1 163267

10000 2 167201
20000 2 167325
30000 2 163538
40000 2 163078
50000 2 159308
60000 2 163293
70000 2 167193
80000 2 167317
90000 2 167359
100000 2 167294

