Experiment
--------------------------------------------
Parameter = tcp_frto
Values [0, 2] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 164450
20000 0 163174
30000 0 159300
40000 0 167275
50000 0 159298
60000 0 5131334
70000 0 163025
80000 0 159214
90000 0 167105
100000 0 158951

10000 1 159176
20000 1 163286
30000 1 167175
40000 1 167287
50000 1 155256
60000 1 163288
70000 1 167291
80000 1 163283
90000 1 163346
100000 1 159235

10000 2 163122
20000 2 159301
30000 2 167305
40000 2 159269
50000 2 163264
60000 2 159204
70000 2 167301
80000 2 339197
90000 2 159324
100000 2 167289

