Experiment
--------------------------------------------
Parameter = tcp_reordering
Values [0, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 0 159925
20000 0 159411
30000 0 163509
40000 0 163405
50000 0 159438
60000 0 375294
70000 0 163474
80000 0 163369
90000 0 159448
100000 0 159466

10000 1 167289
20000 1 159427
30000 1 163459
40000 1 167400
50000 1 167477
60000 1 159437
70000 1 163495
80000 1 163439
90000 1 163254
100000 1 163254

10000 2 163254
20000 2 163254
30000 2 163254
40000 2 163254
50000 2 163254
60000 2 163254
70000 2 163254
80000 2 163254
90000 2 163254
100000 2 163254

10000 3 163254
20000 3 163254
30000 3 163254
40000 3 163254
50000 3 163254
60000 3 163254
70000 3 163254
80000 3 5161028
90000 3 163336
100000 3 163371

10000 4 159357
20000 4 159402
30000 4 159398
40000 4 159380
50000 4 159253
60000 4 159390
70000 4 163388
80000 4 163376
90000 4 163391
100000 4 163390

10000 5 163361
20000 5 5159259
30000 5 159237
40000 5 163394
50000 5 159385
60000 5 163387
70000 5 163360
80000 5 167276
90000 5 159368
100000 5 159303

10000 6 163357
20000 6 154996
30000 6 155235
40000 6 159386
50000 6 163285
60000 6 163331
70000 6 163360
80000 6 167331
90000 6 159364
100000 6 167256

10000 7 159339
20000 7 375439
30000 7 163286
40000 7 163334
50000 7 163363
60000 7 163209
70000 7 159337
80000 7 167329
90000 7 159338
100000 7 163330

10000 8 159291
20000 8 163404
30000 8 163368
40000 8 163219
50000 8 163356
60000 8 159417
70000 8 163575
80000 8 371135
90000 8 163294
100000 8 1155265

10000 9 159200
20000 9 159274
30000 9 159386
40000 9 163353
50000 9 155290
60000 9 163387
70000 9 163356
80000 9 163552
90000 9 163125
100000 9 167234

10000 10 159292
20000 10 163304
30000 10 159366
40000 10 163373
50000 10 163332
60000 10 159312
70000 10 339197
80000 10 163318
90000 10 163319
100000 10 163378

