Experiment
--------------------------------------------
Parameter = tcp_retries2
Values [1, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 154844
20000 1 159568
30000 1 163547
40000 1 163606
50000 1 163561
60000 1 159597
70000 1 159537
80000 1 163575
90000 1 159493
100000 1 167452

10000 2 159536
20000 2 155552
30000 2 163553
40000 2 340883
50000 2 162337
60000 2 167389
70000 2 163575
80000 2 167573
90000 2 163587
100000 2 159509

10000 3 167440
20000 3 159633
30000 3 159577
40000 3 163582
50000 3 167435
60000 3 163547
70000 3 159522
80000 3 163545
90000 3 163569
100000 3 167370

10000 4 159521
20000 4 159632
30000 4 159388
40000 4 159576
50000 4 159528
60000 4 163532
70000 4 163602
80000 4 163589
90000 4 163482
100000 4 163546

10000 5 159496
20000 5 159523
30000 5 159513
40000 5 163444
50000 5 167507
60000 5 159522
70000 5 159496
80000 5 167580
90000 5 167372
100000 5 167516

10000 6 163520
20000 6 163545
30000 6 155542
40000 6 159524
50000 6 167522
60000 6 375428
70000 6 5167530
80000 6 163473
90000 6 159480
100000 6 375407

10000 7 159507
20000 7 159463
30000 7 163535
40000 7 159569
50000 7 159493
60000 7 163496
70000 7 159506
80000 7 159527
90000 7 167380
100000 7 163523

10000 8 163474
20000 8 5163538
30000 8 159383
40000 8 159543
50000 8 159535
60000 8 163552
70000 8 163415
80000 8 163524
90000 8 163529
100000 8 163497

10000 9 159511
20000 9 163522
30000 9 159496
40000 9 1123456
50000 9 163466
60000 9 159481
70000 9 167404
80000 9 159458
90000 9 167488
100000 9 159449

10000 10 159438
20000 10 159521
30000 10 159464
40000 10 163535
50000 10 159492
60000 10 159488
70000 10 163462
80000 10 163338
90000 10 163503
100000 10 159489

