Experiment
--------------------------------------------
Parameter = tcp_syn_retries
Values [1, 10] with stride 1
Flow sizes = [10000, 100000] with stride 10000
--------------------------------------------
10000 1 167689
20000 1 167689
30000 1 167689
40000 1 167689
50000 1 167689
60000 1 167689
70000 1 167689
80000 1 167689
90000 1 167689
100000 1 167689

10000 2 167689
20000 2 167689
30000 2 167689
40000 2 167689
50000 2 167689
60000 2 165710
70000 2 159746
80000 2 163768
90000 2 167558
100000 2 167768

10000 3 167747
20000 3 159741
30000 3 1155893
40000 3 159660
50000 3 159566
60000 3 339826
70000 3 163678
80000 3 163689
90000 3 163736
100000 3 163597

10000 4 159762
20000 4 163750
30000 4 167789
40000 4 159719
50000 4 163779
60000 4 163590
70000 4 159729
80000 4 163704
90000 4 167723
100000 4 167765

10000 5 167607
20000 5 163880
30000 5 163523
40000 5 159723
50000 5 159730
60000 5 159678
70000 5 163738
80000 5 163755
90000 5 163745
100000 5 163708

10000 6 159719
20000 6 159699
30000 6 159689
40000 6 155725
50000 6 159710
60000 6 159699
70000 6 163577
80000 6 163667
90000 6 163736
100000 6 163702

10000 7 163715
20000 7 159659
30000 7 159678
40000 7 159641
50000 7 163683
60000 7 159744
70000 7 163571
80000 7 163703
90000 7 163690
100000 7 163718

10000 8 159669
20000 8 163662
30000 8 159719
40000 8 159672
50000 8 159639
60000 8 159884
70000 8 163325
80000 8 163701
90000 8 167651
100000 8 167669

10000 9 163550
20000 9 163708
30000 9 167721
40000 9 163675
50000 9 167719
60000 9 163696
70000 9 163530
80000 9 167677
90000 9 163731
100000 9 167677

10000 10 159680
20000 10 155659
30000 10 159700
40000 10 163908
50000 10 159459
60000 10 159662
70000 10 159660
80000 10 163679
90000 10 163553
100000 10 163647

