Experiment
--------------------------------------------
Parameter = tcp_adv_win_scale
Values [0, 5] with stride 1
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 0 573958
21000000 0 336029
41000000 0 5507963
61000000 0 3635894
81000000 0 3947743

1000000 1 171424
21000000 1 336211
41000000 1 1531888
61000000 1 2367644
81000000 1 4871968

1000000 2 167593
21000000 2 336192
41000000 2 919876
61000000 2 2915954
81000000 2 3123731

1000000 3 171387
21000000 3 1616048
41000000 3 2819994
61000000 3 675877
81000000 3 1299553

1000000 4 167569
21000000 4 752208
41000000 4 1924014
61000000 4 1095700
81000000 4 2499722

1000000 5 167632
21000000 5 336139
41000000 5 1563857
61000000 5 2975765
81000000 5 1675675

