Experiment
--------------------------------------------
Parameter = tcp_base_mss
Values [256, 2048] with stride 256
Flow sizes = [1000000, 100000000] with stride 20000000
--------------------------------------------
1000000 256 164871
21000000 256 747632
41000000 256 1119648
61000000 256 1503437
81000000 256 3775490

1000000 512 167111
21000000 512 335633
41000000 512 1727671
61000000 512 2743318
81000000 512 3095537

1000000 768 375004
21000000 768 6327575
41000000 768 895689
61000000 768 2719398
81000000 768 2291377

1000000 1024 171175
21000000 1024 1155528
41000000 1024 2171343
61000000 1024 2983511
81000000 1024 2279501

1000000 1280 166936
21000000 1280 327743
41000000 1280 2555507
61000000 1280 2731266
81000000 1280 4003622

1000000 1536 170747
21000000 1536 331719
41000000 1536 6947399
61000000 1536 7715311
81000000 1536 2295600

1000000 1792 166942
21000000 1792 331799
41000000 1792 1731530
61000000 1792 1503283
81000000 1792 3931537

1000000 2048 171031
21000000 2048 339609
41000000 2048 1771488
61000000 2048 4447387
81000000 2048 3315544

